consulta,categoria,ruta_imagen,id_correcto
c01_exacta.jpg,exacta,data/consultas/c01_exacta.jpg,AIM-P001-001
c01_sin_marco.jpg,sin_marco,data/consultas/c01_sin_marco.jpg,AIM-P001-001
c01_recoloreada.jpeg,recoloreada,data/consultas/c01_recoloreada.jpeg,AIM-P001-001
c01_recortada.jpg,recortada,data/consultas/c01_recortada.jpg,AIM-P001-001
c01_persona.jpeg,persona,data/consultas/c01_persona.jpeg,AIM-P001-001
c02_exacta.jpg,exacta,data/consultas/c02_exacta.jpg,AIM-P001-002
c02_sin_marco.jpg,sin_marco,data/consultas/c02_sin_marco.jpg,AIM-P001-002
c02_recoloreada.jpeg,recoloreada,data/consultas/c02_recoloreada.jpeg,AIM-P001-002
c02_recortada.jpg,recortada,data/consultas/c02_recortada.jpg,AIM-P001-002
c02_persona.jpeg,persona,data/consultas/c02_persona.jpeg,AIM-P001-002
c03_exacta.jpg,exacta,data/consultas/c03_exacta.jpg,AIM-P001-003
c03_sin_marco.jpg,sin_marco,data/consultas/c03_sin_marco.jpg,AIM-P001-003
c03_recoloreada.jpeg,recoloreada,data/consultas/c03_recoloreada.jpeg,AIM-P001-003
c03_recortada.jpg,recortada,data/consultas/c03_recortada.jpg,AIM-P001-003
c03_persona.jpeg,persona,data/consultas/c03_persona.jpeg,AIM-P001-003
c04_exacta.jpg,exacta,data/consultas/c04_exacta.jpg,AIM-P001-004
c04_sin_marco.jpg,sin_marco,data/consultas/c04_sin_marco.jpg,AIM-P001-004
c04_recoloreada.jpeg,recoloreada,data/consultas/c04_recoloreada.jpeg,AIM-P001-004
c04_recortada.jpg,recortada,data/consultas/c04_recortada.jpg,AIM-P001-004
c04_persona.jpeg,persona,data/consultas/c04_persona.jpeg,AIM-P001-004
c05_exacta.jpg,exacta,data/consultas/c05_exacta.jpg,AIM-P001-005
c05_sin_marco.jpg,sin_marco,data/consultas/c05_sin_marco.jpg,AIM-P001-005
c05_recoloreada.jpeg,recoloreada,data/consultas/c05_recoloreada.jpeg,AIM-P001-005
c05_recortada.jpg,recortada,data/consultas/c05_recortada.jpg,AIM-P001-005
c05_persona.jpeg,persona,data/consultas/c05_persona.jpeg,AIM-P001-005
c06_exacta.jpg,exacta,data/consultas/c06_exacta.jpg,AIM-P001-006
c06_sin_marco.jpg,sin_marco,data/consultas/c06_sin_marco.jpg,AIM-P001-006
c06_recoloreada.jpeg,recoloreada,data/consultas/c06_recoloreada.jpeg,AIM-P001-006
c06_recortada.jpg,recortada,data/consultas/c06_recortada.jpg,AIM-P001-006
c06_persona.jpeg,persona,data/consultas/c06_persona.jpeg,AIM-P001-006
c07_exacta.jpg,exacta,data/consultas/c07_exacta.jpg,AIM-P001-007
c07_sin_marco.jpg,sin_marco,data/consultas/c07_sin_marco.jpg,AIM-P001-007
c07_recoloreada.jpeg,recoloreada,data/consultas/c07_recoloreada.jpeg,AIM-P001-007
c07_recortada.jpg,recortada,data/consultas/c07_recortada.jpg,AIM-P001-007
c07_persona.jpeg,persona,data/consultas/c07_persona.jpeg,AIM-P001-007
c08_exacta.jpg,exacta,data/consultas/c08_exacta.jpg,AIM-P001-008
c08_sin_marco.jpg,sin_marco,data/consultas/c08_sin_marco.jpg,AIM-P001-008
c08_recoloreada.jpeg,recoloreada,data/consultas/c08_recoloreada.jpeg,AIM-P001-008
c08_recortada.jpg,recortada,data/consultas/c08_recortada.jpg,AIM-P001-008
c08_persona.jpeg,persona,data/consultas/c08_persona.jpeg,AIM-P001-008
c09_exacta.jpg,exacta,data/consultas/c09_exacta.jpg,AIM-P001-009
c09_sin_marco.jpg,sin_marco,data/consultas/c09_sin_marco.jpg,AIM-P001-009
c09_recoloreada.jpeg,recoloreada,data/consultas/c09_recoloreada.jpeg,AIM-P001-009
c09_recortada.jpg,recortada,data/consultas/c09_recortada.jpg,AIM-P001-009
c09_persona.jpeg,persona,data/consultas/c09_persona.jpeg,AIM-P001-009
c10_exacta.jpg,exacta,data/consultas/c10_exacta.jpg,AIM-P001-010
c10_sin_marco.jpg,sin_marco,data/consultas/c10_sin_marco.jpg,AIM-P001-010
c10_recoloreada.jpeg,recoloreada,data/consultas/c10_recoloreada.jpeg,AIM-P001-010
c10_recortada.jpg,recortada,data/consultas/c10_recortada.jpg,AIM-P001-010
c10_persona.jpeg,persona,data/consultas/c10_persona.jpeg,AIM-P001-010
